Person ID,reduce anxiety,improve mood,reduce fatigue,improve sleep cycle,improve sleep quality,manage chronic health issues,solve sleep disorder,optimize overall health and fitness,optimize productivity,restore energy levels,improve overall well-being,lessen migraine,other
1,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no
2,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no
3,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no
4,yes,yes,no,no,yes,no,no,yes,no,yes,no,yes,no
5,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,no
6,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no
7,yes,no,no,no,no,no,no,no,yes,no,yes,no,no
8,no,no,yes,no,no,yes,no,yes,no,no,no,yes,no
9,no,no,no,no,no,no,no,no,no,yes,no,no,no
10,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no
11,no,yes,no,no,no,no,no,no,no,no,yes,no,no
12,no,no,no,no,no,yes,yes,no,yes,yes,yes,no,no
13,yes,yes,yes,no,no,no,yes,no,no,yes,yes,no,no
14,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,no
15,no,yes,yes,no,no,no,no,yes,no,yes,no,yes,no
16,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no
17,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,no
18,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no
19,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,no
20,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,no
