person ID,limitting / eliminating caffeine,limitting / eliminating alcohol,limitting / eliminating smoking,getting sunlight in the morning,getting exercise,wearing earplugs during sleep,falling asleep to sounds,journaling/reading books before bed,wearing eye mask,reducing blue light,bedroom tempereature
1,no,yes,yes,yes,no,yes,yes,yes,no,no,warm
2,yes,yes,yes,no,yes,yes,no,no,no,yes,cool
3,no,no,yes,yes,yes,yes,yes,yes,yes,no,cool
4,yes,yes,no,no,no,no,no,yes,yes,no,warm
5,no,no,no,yes,yes,no,no,yes,yes,no,normal
6,no,no,yes,no,yes,no,yes,yes,yes,yes,normal
7,yes,no,yes,no,yes,no,no,yes,yes,yes,warm
8,yes,yes,no,yes,yes,no,yes,no,yes,no,cool
9,no,yes,no,no,no,no,yes,no,no,yes,normal
10,yes,yes,yes,no,no,no,yes,no,yes,yes,warm
11,no,yes,no,yes,no,no,no,no,no,yes,warm
12,no,no,no,no,no,yes,no,yes,yes,yes,warm
13,no,no,no,yes,no,yes,yes,no,yes,yes,normal
14,yes,yes,yes,yes,yes,no,no,yes,yes,no,normal
15,no,no,no,yes,yes,no,no,yes,no,no,cool
16,no,no,yes,no,yes,yes,yes,yes,no,no,normal
17,yes,no,no,no,yes,no,yes,no,no,no,cool
18,no,no,no,no,yes,no,no,yes,no,no,warm
19,yes,yes,no,no,no,no,no,no,yes,yes,normal
20,yes,yes,no,yes,no,no,no,no,yes,no,warm
